150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (2022=100) Menurut Kelompok dan Sub Kelompok 10 Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,,,,,,,,,,,,,
,Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,Jasa Pelayanan Makanan dan Minuman,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA PALU,0.13,0.11,1.02,0.63,0,0.07,0,0.77,0,0.09,0,0.19,-,0.13,0.11,1.02,0.63,0,0.07,0,0.77,0,0.09,0,0.19,-
BULUKUMBA,0.33,0.25,0.18,0.2,0.29,0.23,0.13,0.01,0.01,0,0,0.1,-,0.33,0.25,0.18,0.2,0.29,0.23,0.13,0.01,0.01,0,0,0.1,-
WATAMPONE,0.22,0,0.7,0.43,0.37,0,0,0,0,0.18,0.12,0,-,0.22,0,0.7,0.43,0.37,0,0,0,0,0.18,0.12,0,-
KAB WAJO,0,0.02,0,0,0,0,0,0,0,0,0,0,-,0,0.02,0,0,0,0,0,0,0,0,0,0,-
KAB SIDENRENG RAPPANG,0,0,0,0,0,0,0.44,0.92,0.08,0,0,0,-,0,0,0,0,0,0,0.44,0.92,0.08,0,0,0,-
KAB LUWU TIMUR,0.18,0.07,0.06,0,0.05,0,0,0,0,0,0,0,-,0.18,0.07,0.06,0,0.05,0,0,0,0,0,0,0,-
KOTA MAKASSAR,0.81,0.32,0.06,0.11,0.17,0.04,0.01,0,0.06,0,0,0,-,0.81,0.32,0.06,0.11,0.17,0.04,0.01,0,0.06,0,0,0,-
KOTA PARE PARE,0.56,0.14,0,0.12,0.07,0,0.02,0.04,0.04,0,0,0,-,0.56,0.14,0,0.12,0.07,0,0.02,0.04,0.04,0,0,0,-
KOTA PALOPO,0.01,0,0,0,0.01,0,0,0,0,0,0,0,-,0.01,0,0,0,0.01,0,0,0,0,0,0,0,-
KAB KONAWE,0.75,0,0,0.2,0.28,0,0.49,0,0,0,0.02,0.29,-,0.75,0,0,0.2,0.28,0,0.49,0,0,0,0.02,0.29,-
KAB KOLAKA,0.13,0.05,0.21,0.26,0.12,0.06,0.04,0,0,0.75,0,0,-,0.13,0.05,0.21,0.26,0.12,0.06,0.04,0,0,0.75,0,0,-
KOTA KENDARI,2.06,0.23,0.13,0.13,0.03,0.09,0,0,0.09,0,0.01,0.22,-,2.06,0.23,0.13,0.13,0.03,0.09,0,0,0.09,0,0.01,0.22,-
KOTA BAU BAU,0,0.29,0.25,0.18,0.55,0,0.07,0,0.63,0.03,0.35,0,-,0,0.29,0.25,0.18,0.55,0,0.07,0,0.63,0.03,0.35,0,-
KAB GORONTALO,2.3,0.3,0,0,0.49,0,0,0,0.25,0,0,1.01,-,2.3,0.3,0,0,0.49,0,0,0,0.25,0,0,1.01,-
KOTA GORONTALO,0.11,0.06,0,0,0,0,0,0.02,0,0,0.04,0,-,0.11,0.06,0,0,0,0,0,0.02,0,0,0.04,0,-
KAB MAJENE,0,0,0,0,0.3,0,0,0.08,0,0,0,0.1,-,0,0,0,0,0.3,0,0,0.08,0,0,0,0.1,-
